,Name,Price,Engine,Mileage,BodyType,FuelType,Transmission,SellerType,City,Description,Link
17,"Kia Sorento, 2010",799000,2.4 AT (175 л.с.),303 000 км,внедорожник,бензин,полный,Автодилер,"Московская область, Мытищи","Автомобиль в хорошем состоянии! Не требует вложений! Техничесое состояние прекрасное! 2 комплекта резины, 2 комплекта ключей! Масло меняли 500 км назад!. Богатaя комплeктация: без ключевой доступ, пoлный пpивод, климaт и круиз кoнтрoль, Aвs, курсовая уcтoйчивость, эл/пpивод сидений, ксенон, камера заднего вида, электро привод зеркал! На последнем ТО было заменено рулевые тяги+наконечники. Нижняя подушка двигателя. Прокладка клапанной крышки. Задние стойки стабилизатора! Вложения — камера заднего вида! Левое зеркало требует ремонта! Езжу на ней каждый день!","Kia Sorento, 2010"
18,"Kia Seltos, 2021",RUB,2.0 CVT (149 л.с.),35 699 км,внедорожник,бензин,передний,Автодилер,Санкт-Петербург,"Птс оригинал. Место осмотра. Осмотреть автомобиль можно по адресу: Санкт-Петербург, Выборгское ш., 31а. Характеристики. — Вариаторная коробка передач. Комплектация «Luxe»: Активная безопасность: — Антиблокировочная система. — Антипробуксовочная система. — Система курсовой устойчивости. — Система помощи при экстренном торможении. — Датчик давления в шинах. — Эра-Глонасс. Пассивная безопасность: — Подушки безопасности водителя. — Подушки безопасности пассажира. — Боковые передние подушки безопасности. — Оконные шторки безопасности. — Система крепления детских автокресел. Противоугонная система: — Иммобилайзер. — Центральный замок. Помощь при вождении: — Бортовой компьютер. — Круиз-контроль. — Парктроник задний. — Камера заднего вида. — Система помощи при старте в гору. — Датчик света. Комфорт: — Усилитель руля. — Регулировка руля. — Регулировка сиденья водителя в двух плоскостях. — Электростеклоподъемники передние и задние. — Электропривод зеркал. Управление климатом и обогрев: — Климат-контроль 1-зонный. — Подогрев сидений водителя и пассажира. — Подогрев руля. — Обогрев зеркал. — Обогрев форсунок стеклоомывателей. Мультимедиа и навигация: — CD. — Usb. — Функция Apple carplay. — Функция Android Auto. — Bluetooth. — Aux. — Аудиоподготовка. — Мультифункциональное рулевое колесо. — Розетка 12V. Салон и интерьер: — Тканевая обивка салона. — Отделка кожей рычага Кпп. — Кожаный руль. — Складывающееся заднее сидение. — Третий задний подголовник. — Передний центральный подлокотник. Экстерьер: — Размер дисков 16″. — Рейлинги на крыше. Освещение: — Противотуманные фары. Комплектность: — Докатка.","Kia Seltos, 2021"
19,"Hyundai Grand Starex, 2019",890000,2.5 AT (145 л.с.),52 000 км,минивэн,дизель,полный,Автодилер,Москва,"Скидки ДО 350 000 Руб При Покупке В Кредит! Данный автомобиль представлен в автосалоне Мега Моторс! Приобретая автомобиль у нас, Вы получаете гарантию высокой надежности сделки при покупке и Гарантию на приобретаемый автомобиль! Гарантия юридической чистоты 100% — каждый автомобиль предварительно проверяется при приеме нашей службой безопасности по всем базам (Гаи, Кредит/залог, Автокод). Данная гарантия предоставляется в письменном виде. * Автомобиль в отличном состоянии, на автомобиле проведена полная предпродажная подготовка, вложений не требует. * Лакокрасочное покрытие без повреждений. * Коробка и двигатель работают без нареканий (предоставляется 1 год гарантии). * Салон чистый, не прокуренный, Птс оригинал. * Второй комплект ключей и сервисная книжка в наличии. Данный автомобиль можно приобрести в кредит от ведущих банков страны. Минимальный комплект документов для подачи заявки на кредит: паспорт РФ и водительское удостоверение, рассмотрение анкеты в кратчайшие сроки, (в течение часа). Автокредит Для Всех Регионов РФ! Первоначальный взнос от 0%; Процентная ставка по кредиту от 9 % годовых. Срок кредита — от 6 мес. До 9 лет; Каско не обязательно! Принимаются дистанционные заявки на рассмотрение кредита по телефону! Выдача автомобиля в день обращения, независимо от формы оплаты (безналичный расчет, кредит, наличный расчет, оплата по банковской карте). Приглашаем Вас на Тест-Драйв! Место осмотра. Осмотреть автомобиль можно по адресу: Москва, Новомосковская 1. Комплектация: Активная безопасность: — Антиблокировочная система. — Антипробуксовочная система. — Система курсовой устойчивости. Пассивная безопасность: — Боковые передние подушки безопасности. Противоугонная система: — Сигнализация. — Иммобилайзер. — Центральный замок. Помощь при вождении: — Бортовой компьютер. — Круиз-контроль. — Парктроник задний. — Камера заднего вида. — Датчик света. — Датчик дождя. Комфорт: — Электростеклоподъемники передние и задние. — Электропривод зеркал. Управление климатом и обогрев: — Климат-контроль многозонный. — Подогрев сидений водителя и пассажира. — Подогрев руля. — Обогрев зеркал. — Обогрев заднего стекла. Мультимедиа и навигация: — CD. — Dvd. — Usb. — MP3. — Видео. — Радио. — Bluetooth. — Aux. — 6 колонок. — Мультифункциональное рулевое колесо. Салон и интерьер: — Кожаная обивка салона. — Кожаный руль. Освещение: — Противотуманные фары. Комплектность: — Сервисная книжка. — Зимний комплект резины.","Hyundai Grand Starex, 2019"
20,"Chevrolet Cruze, 2013",RUB,1.8 AT (141 л.с.),197 278 км,седан,бензин,передний,Ошибка,Москва,"Продам Круз в отличном состоянии, с родным пробегом. По мотору и Кпп нареканий нет. Вся электрика работает. Всё есть для комфортной езды. Очень ухоженный и комфортный салон. Всё в рабочем состоянии. Автомобиль без Дтп. Вся подвеска поменяна. По дополнительным вопросам — звоните. Торг у капота.","Chevrolet Cruze, 2013"
21,"Honda CR-V, 2007",650000,2.0 MT (150 л.с.),195 000 км,внедорожник,бензин,передний,Ошибка,Москва,"В Наличии Автомобиль С Пробегом Honda CR-V 2007. Спешите Купить В Кредит И Трейд ИН И Получите Скидку От 100.000 ДО 350.000 Рублей! Об автомобиле. Автомобиль в отличном состоянии. Технически без нареканий. По кузову без дефектов. В наличии 2 ключа. Птс Оригинал. Гарантия на коробку и двигатель- 1 год! Зимняя резина в Подарок! Для вас. У нас самые простые и выгодные условия автокредитования: Первоначальный взнос от 0%; Минимальный пакет документов — паспорт и вод. Удостоверение; Срок кредита от 6 месяцев до 7 лет; Без справок и трудовой книжки. Каско — необязательно. Почему у нас? Каждая машина, перед приемом в салон, проходит полную диагностику, а также, обязательно, проверяется история авто по вин номеру, что гарантирует ваше спокойствие при покупке. Контакты. Звоните и пишите нам в чат- ответим быстро. Автосалон работает ежедневно, без праздников и выходных: 9:00 — 21:00! Мы заботимся о Вас и Проверяем Историю Каждого Автомобиля.","Honda CR-V, 2007"
22,"Kia Cerato, 2012",RUB,2.0 AT (150 л.с.),131 122 км,седан,бензин,передний,Ошибка,"Нижегородская область, Нижний Новгород","Автомобиль в хорошем техническом и внешнем состоянии, все запчасти и расходники менялись во время, замена масла каждые 7 тыс. Все во время обслуживалось. Два комплекта резины лето на дискахr17 (резина goodeer iglsport), зима на штампах r16. Магнитола пионер+усилитель. Хороший свет. Максимальная комплектация. Машина ни когда не подходила, служила верой и правдой, реальному покупателю Хороший торг. Звоните.","Kia Cerato, 2012"
23,"Audi A6, 2016",1235000,1.8 AMT (190 л.с.),227 000 км,седан,бензин,передний,Ошибка,"Краснодарский край, Сочи","Продаю Audi A6 C7 ( рестайлинг), 2016 год, я третий хозяин, птс дубликат, один ключ, пробег трассовый ( не крученный), вся целая ( крашеная левая сторона, все детали оригинал — меняли только левую заднюю дверь). Капот родной — не крашеный. Все стекла родные. Подушки на месте. Состояние отлично, без вложений, цепь поменяна на 180.000км, из минусов — только поменять резину. Все работает. Стоит сигнализация, Gps -маяк, управление с телефона. Запретов, арестов нет, оформлена на меня, продажа через Гибдд. Тех осмотр на 2 года пройден. Торга нет ( цена самая низкая по России).","Audi A6, 2016"
24,"Hyundai Solaris, 2011",RUB,1.4 MT (107 л.с.),51 363 км,хетчбэк,бензин,передний,Ошибка,"Краснодарский край, Ейский р-н, Ейское городское поселение, Ейск","Автомобиль зимой не эксплуатировался, для зимы есть другой автомобиль. Торг возле капота, не красился, небольшие царапины внизу бампера от бордюры, любые проверки за ваш счёт.","Hyundai Solaris, 2011"
25,"Volvo XC60, 2011",1095000,2.0 AMT (240 л.с.),136 000 км,внедорожник,бензин,передний,Ошибка,Москва,"Машина в очень достойном состоянии! Документы оригинал! Не ржавая и не гнилая. Салон в идеальном состоянии, кузов ровный без вмятин и царапин, в живую лучше чем на фото))) пробег 100% родной, можете проверить я не против.","Volvo XC60, 2011"
26,"ВАЗ (LADA) Priora, 2010",RUB,1.6 MT (98 л.с.),164 542 км,седан,бензин,передний,Ошибка,"Воронежская область, Воронеж","Машина в отличном состоянии. Эур, кондиционер, Abs. Рыжиков, жучков, гнили нет. По технике все работает. Оригинал Птс, три владельца, штрафов, запретов нет. Возможен небольшой торг.","ВАЗ (LADA) Priora, 2010"
27,"SsangYong Rexton, 2008",460000,2.7 AT (186 л.с.),158 000 км,внедорожник,дизель,полный,Ошибка,Москва,"Скидки ДО 350 000 Руб При Покупке В Кредит! Данный автомобиль представлен в автосалоне Мега Моторс! Приобретая автомобиль у нас, Вы получаете гарантию высокой надежности сделки при покупке и Гарантию на приобретаемый автомобиль! Гарантия юридической чистоты 100% — каждый автомобиль предварительно проверяется при приеме нашей службой безопасности по всем базам (Гаи, Кредит/залог, Автокод). Данная гарантия предоставляется в письменном виде. * Автомобиль в отличном состоянии, на автомобиле проведена полная предпродажная подготовка, вложений не требует. * Лакокрасочное покрытие без повреждений. * Коробка и двигатель работают без нареканий (предоставляется 1 год гарантии). * Салон чистый, не прокуренный, Птс оригинал. * Второй комплект ключей и сервисная книжка в наличии. Данный автомобиль можно приобрести в кредит от ведущих банков страны. Минимальный комплект документов для подачи заявки на кредит: паспорт РФ и водительское удостоверение, рассмотрение анкеты в кратчайшие сроки, (в течение часа). Автокредит Для Всех Регионов РФ! Первоначальный взнос от 0%; Процентная ставка по кредиту от 9 % годовых. Срок кредита — от 6 мес. До 9 лет; Каско не обязательно! Принимаются дистанционные заявки на рассмотрение кредита по телефону! Лизинг Автомобилей Для Юридических Лиц: Срок от 6 месяцев до 5 лет. Объем финансирования индивидуальные условия. Первоначальный взнос от 10 %. Индивидуальные условия выкупа после полугода. Выдача автомобиля в день обращения, независимо от формы оплаты (безналичный расчет, кредит, лизинг, наличный расчет, оплата по банковской карте). Приглашаем Вас на Тест-Драйв! Птс оригинал. Возможен торг. Место осмотра. Осмотреть автомобиль можно по адресу: Москва, Новомосковская 1. Комплектация: Активная безопасность: — Антиблокировочная система. — Антипробуксовочная система. — Система курсовой устойчивости. Пассивная безопасность: — Подушки безопасности водителя. — Подушки безопасности пассажира. Противоугонная система: — Сигнализация с обратной связью. — Иммобилайзер. — Центральный замок. Помощь при вождении: — Бортовой компьютер. — Круиз-контроль. — Парктроник задний. — Датчик света. — Датчик дождя. Комфорт: — Усилитель руля. — Электрорегулировка руля с памятью положения. — Электрорегулировка сиденья водителя с памятью положения. — Электростеклоподъемники передние и задние. — Электроскладывание зеркал. — Электрорегулировка зеркал с памятью положения. Управление климатом и обогрев: — Климат-контроль 2-зонный. — Подогрев руля. — Обогрев заднего стекла. Мультимедиа и навигация: — CD. — Usb. — MP3. — Радио. — Bluetooth. — Aux. — Колонки. Салон и интерьер: — Кожаная обивка салона. — Темный салон. — Отделка кожей рычага Кпп. — Кожаный руль. — Прикуриватель и пепельница. Экстерьер: — Задние тонированные стекла. — Рейлинги на крыше. — Защита картера. — Декоративные молдинги. Освещение: — Противотуманные фары. — Огни дневного хода. Комплектность: — Запасное колесо.","SsangYong Rexton, 2008"
28,"BMW 5 серия, 2019",RUB,2.0 AT (190 л.с.),73 600 км,седан,дизель,задний,Ошибка,Санкт-Петербург,"Сборка Германия. В идеальном техническом и внешнем состоянии. Заводской окрас. Новая резина. Машина после ТО делать ничего не нужно. Внешний и внутренний М пакет. Система распознавание пешеходов, экстренное торможение, считывание знаков, контроль дистанции впереди идущего автомобиля, навигация. Музыка Harman Kardon играет великолепно. Помощи в продаже не нуждаюсь, автосалоны просьба Не Беспокоить!","BMW 5 серия, 2019"
29,"Ford Transit, 2010",1370000,2.4 MT (140 л.с.),440 000 км,фургон,дизель,задний,Ошибка,"Республика Крым, Симферополь","Срочная продажа! В наличии, 2013г. Автомобиль в отличном состоянии новая резина всё вопросы по телефону.","Ford Transit, 2010"
30,"Volkswagen Polo, 2012",RUB,1.6 MT (105 л.с.),417 000 км,седан,бензин,передний,Ошибка,"Московская область, Мытищи","Не такси, состояние на фото. Отличная машина ни когда не подводила и не подведет. Приезжайте смотрите, все покажу и расскажу.","Volkswagen Polo, 2012"
31,"Mazda 3, 2005",1149000,1.6 AT (105 л.с.),230 000 км,седан,бензин,передний,Ошибка,"Московская область, Талдомский г.о., Талдом","Продаю отличный автомобиль, японская сборка. Для своих лет машина в хорошем состоянии, никогда не подводила, заводится при любом морозе без проблем. Вся история автомобиля юридически чиста, никаких ограничений нет. Продаю в связи с покупкой нового автомобиля. Торг возле капота реальному покупателю.","Mazda 3, 2005"
32,"Land Rover Range Rover, 2002",RUB,4.4 AT (286 л.с.),200 000 км,внедорожник,бензин,полный,Ошибка,"Воронежская область, Воронеж",Кузов без ржавчины. Все номера читаются. Большой бонус 060 номера. Максимальная. Комплектация. Мотор отличный. Акпп под ремонт. Генератор под ремонт. Машина на ходу.,"Land Rover Range Rover, 2002"
33,"Nissan Primera, 2002",989000,1.8 MT (116 л.с.),155 000 км,седан,бензин,передний,Ошибка,"Московская область, Мытищи","Примера p12 с реальным пробегом 154 000 км. В отличном сохране, таких машин на рынке нет. Кузов в идеальном состоянии для этого года, дно, пороги, стаканы, низа дверей, ниша под запаску, кромка капота, крышки багажника, крыши, все без намека на ржавчину. Мотор просто шепчет, масло только оригинал Nissan, новые катушки, вв провода. Коробка работает отлично, масло в ней поменяно. Ходовая вся обслужена. Тормоза обслужены, вкруг все новое диски, колодки. Новые подушки и опоры двигателя, оригинал Nissan. Антифриз новый оригинал Nissan. Ремни, ролики новые. Салон в отличном состоянии. Стекла вкруг заводские. Новая зимняя резина, липучка бриджстоун. Сигнализация с автозапуском. На машине не экономили, обслуживали только оригинальными запчастями, либо дорогим аналогом. Есть чеки и заказ наряды.","Nissan Primera, 2002"
34,"Audi A4, 2010",RUB,1.8 CVT (160 л.с.),205 000 км,седан,бензин,передний,Ошибка,"Краснодарский край, Краснодар",Чистые документы. Комплектация S-Line! Первая цена. Без торга срочно. На полном ходу!,"Audi A4, 2010"
35,"Hyundai Sonata, 2008",1200000,2.0 AT (152 л.с.),332 000 км,седан,бензин,передний,Ошибка,"Ярославская область, Ярославль","Продается авто для своих лет на 4. Много чего сделано и поменяно, денег не жалел, т. К. Для безопасности своих детей. Очень вместительна, багажник ограмейший. Ездили ежегодна на протяжении 3 лет на юга без проблем. Коробка родная корейская, что подтверждает своей надежность это не маловажный факт. Продажа вынужденая, т. К. У меня большая семья, нужна машина больше не умещаемся уже в ней. Служит верой и правдой, надеюсь для последующего покупателя аналогично. Продавцов помогающих в продаже, очень Вас прошу, лучше не беспокоить я прямолинейный.","Hyundai Sonata, 2008"
36,"BMW 1 серия, 2012",RUB,1.6 AT (136 л.с.),153 417 км,хетчбэк,бензин,задний,Ошибка,Санкт-Петербург,"Машина в полном порядке, делать ничего не нужно, недавно сделано ТО. По кузову железо все родное. Чистый салон, не прокурен и тд. Если есть вопросы звоните на все отвечу, Дилерам просьба не беспокоить!","BMW 1 серия, 2012"
37,"Opel Astra, 2011",2018000,1.6 MT (115 л.с.),240 000 км,хетчбэк,бензин,передний,Ошибка,"Краснодарский край, муниципальное образование Краснодар, садовое товарищество Дорожник","На отличном ходу, по мотору и мкпп без проблем, по ходовке без шумов, с документами все порядке!","Opel Astra, 2011"
38,"Volvo XC90, 2013",RUB,2.5 AT (209 л.с.),112 468 км,внедорожник,бензин,полный,Ошибка,Москва,"Продаю ультракомфортный и надёжный автомобиль Вольво ХС90 в шикарной комплектации Executive. Самый красивый и редкий переливающийся из чёрного в тёмно-бордовый цвет Ember Black Pearl. Заводской стеклопакет (двойные стёкла) Pilkington. Салон Executive — мягкая кожа со светлой окантовкой и встроенным детским сиденьем. Машина в безупречном состоянии, в двух словах — ухоженная и обслуженная. Кузов покрыт премиальной многослойной керамикой. Двигатель, акпп, подвеска — без нареканий, ошибок никаких нет, обслуживалась всегда своевременно. Юридически чистый, Птс оригинал, два ключа и полный пакет документов. Летний комплект шин отдам в подарок. Последний рестайлинг данного кузова, год выпуска конец 2013 года, первым владельцем была приобретена в феврале 2014 года. Сборка чисто Шведская. Автосалонам и площадкам не беспокоить! Разумный торг уместен при осмотре, могу рассмотреть варианты обмена.","Volvo XC90, 2013"
39,"Volkswagen Polo, 2015",2795000,1.6 MT (105 л.с.),160 000 км,седан,бензин,передний,Ошибка,"Белгородская область, Валуйский г.о., Валуйки","Нужно покрасить капот от сколов и крышку багажника, назад сдавал задел стол. Срочно торг.","Volkswagen Polo, 2015"
40,"Opel Insignia, 2009",RUB,1.8 MT (140 л.с.),215 000 км,седан,бензин,передний,Ошибка,"Калининградская область, Калининград","Продам«Opel Insignia 1.8 6-MT„2009г. Э на РФ. Немецкая Сборка. Оригинальный Птс 1 Хозяин. Оригинальный Пробег. -1.8 Бензин ( атмосферник/Z18xer/140л. С/ грм ремень / один из самых надежных двигателей ecotec с моторесурсом свыше 500.000 км). -Шести ступенчатая механическая коробка передач. -Климат контроль 2х зонный. -Подогрев сидений. -Дневные ходовые огни. -Мульти руль. -Круиз контроль. -Управление на руле громкой связью. -Развернутый бортовой компьютер. -Штатная мультимедиа с выходами Aux, Usb, Bluetooth. -Полный Эл. Пакет ( стекла, зеркала с подогревом). -Большой вместительный багажник. -Новая резина. Оцинкованный Кузов. Прекрасный Внешний Вид! Идеальное Тех. Состояние! Возможен обмен на более дешевый авто! Возможна продажа в Кредит!","Opel Insignia, 2009"
41,"Kia Cerato, 2017",750000,1.6 AT (130 л.с.),138 457 км,седан,бензин,передний,Ошибка,"Республика Татарстан, Набережные Челны","Киа Серато в максимальной комплектации. По технике отличная. Автомат, двигатель, ходовая в идеале. Комплектация: - 6ти ступенчатая коробка автомат. - Климат-контроль многозонный. - Абс. - Курсовая устойчивость. - Круиз-контроль. - Все электростеклоподьемники. - Партроники передние и задние. - 6 подушек безопасности. - 3 режима езды (спорт, комфорт и норма). - Подогрев руля; лобового и заднего стекла; зеркал; передних и задних сидений. - Противотуманные фары передние и задние. - Электрорегулировка зеркал. - Камера заднего вида. - Управление скоростями на руле (лепестки). - Вентиляция бордачка. - Штатная аудиосистема. - Сигнализация с автозапуском. Кузов весь в родном окрасе. Птс оригинал. Юридически чистая.","Kia Cerato, 2017"
42,"Mazda 6, 2006",RUB,1.8 MT (120 л.с.),244 000 км,седан,бензин,передний,Ошибка,"Нижегородская область, Арзамас",Колеса -лето литье ; зима штампы. Причина продажи покупка жилья! Срочно! Торга нет.,"Mazda 6, 2006"
43,"Kia Cerato, 2014",799000,1.6 AT (130 л.с.),148 350 км,седан,бензин,передний,Ошибка,"Республика Татарстан, Набережные Челны","Вин: Xwefx411be0005908. Продам киа серато 2014 года выпуска, 1 хозяин, не битая, крашено вторым слоем крыло заднее и дверь заднее (поцарапали), шпатлевки нет, в такси не была, отличная комплектация: Автомат, Эур, 2х зонный климат контроль, подогрев передних и задних сидений, подогрев руля, антизанос, электро зеркала с подогревом, 4 стеклоподъемника, круиз контроль, мульти руль, Парктроники, камера заднего вида, андроид магнитола 2/32, Gps, 4 положения руля, кожаные чехлы новые автопилот, новые коврики Эва с бортиками. Ходовая, двигатель, кпп в. Отличном состоянии. В автомате масло была произведена полная замена 10000 км. Назад. Колеса зима р16. И самое главное установлено светодиодные линзы за 25000 рублей, светят лучше новых машин, 2 дальних света. В туманках установлены светодиодные лампы, светят тоже отлично. Установлено кнопка старт стоп, безключевой доступ (подошёл открылась сама, отошёл на определённое расстояние закрылась сама), на ключе имеется автозапуск. Если есть вопросы звоните. Машина в Челнах. Вин: Xwefx411be0005908. Торга Нет.","Kia Cerato, 2014"
44,"Hyundai Solaris, 2015",RUB,1.4 MT (107 л.с.),160 000 км,хетчбэк,бензин,передний,Ошибка,Санкт-Петербург,Надежный экономичный автомобиль.,"Hyundai Solaris, 2015"
45,"Mazda 2, 2013",600000,1.5 AT (103 л.с.),96 000 км,хетчбэк,бензин,передний,Ошибка,Санкт-Петербург,"Автомобиль 2013 года выпуска, покупался у официального дилера Mazda, один владелец. Не участвовал в Дтп, полный комплект ключей и документов, 2 комплекта резины.","Mazda 2, 2013"
46,"Nissan Elgrand, 2003",RUB,3.5 AT (240 л.с.),165 000 км,минивэн,бензин,задний,Ошибка,"Краснодарский край, Динской р-н, Динское сельское поселение, станица Динская","В шикарном состоянии для своих лет, вся сияет. Машина как на фото, учет РФ, я первый собственник. Оригинальный пробег. По кузову, мотору, ходовой вложений не требует, лобовое целое, один косметический окрас переднего крыла, все остальное заводское. Машина ухоженная за нее не стыдно. Готова на любые проверки, все стекла в круг родные. Пишите дам номер для связи, торг рядом с машиной, обмен только на деньги. Так же есть возможность приобрести данную машину в кредит.","Nissan Elgrand, 2003"
47,"Hyundai Elantra, 2000",1300000,1.8 AT (128 л.с.),180 000 км,седан,бензин,передний,Ошибка,"Белгородская область, Белгород","Машина требует покраски состояние кузова не гнилое. Все исправно. За год поменял колодки, подшипник передней ступицы, резонатор и то по глупости сам накосячил.","Hyundai Elantra, 2000"
48,"Land Rover Range Rover, 2002",RUB,4.4 AT (286 л.с.),246 712 км,внедорожник,бензин,полный,Ошибка,"Республика Коми, Ухта","Пригнан и растаможен с Германии сразу в г. Ухта в 2008 году. По факту я третий собственник, все собственники из Республики Коми (северная эксплуатация без соли и реагентов). Лишние регистрации из за перевесов красивых номеров. Владел с 2017 года. С 17 года по настоящее время проехал около 60 т. Км, много вложено и много чего обслужено и поменяно, четвёртый автомобиль в семье. В 18 году выставлял на продажу и сейчас спустя 5 лет снова продаю, жалко. В заводской краске и без Дтп. Ни какой ржавчины ни каких рыжиков. Автомобиль полностью в оригинале как с завода без всякого колхоза. Отличное состояние кузова и самого автомобиля, это редкость на сегодняшний день. Настоящий пробег. Мотор в идеальном состоянии, работает мягко и тихо практически не слышно, масло от замены до замены абсолютно ни какого расхода. Снизу идеальное днище все по заводу без налета ржавчины. Кузов оригинальный, ни чего не откручивалось и не менялось, покрыт жидкой керамикой. Очень комфортный мягкий приятный автомобиль, зимой в морозы в салоне жара. Комплектация: Климат контроль раздельный. Круиз контроль. Лобовое стекло полностью с электрообогревом. Подогрев передних сидений. Электрозеркала с подогревом, складные. Все стеклоподъемники. Мультируль. Система спуска. Курсовая стабилизация Esp + Abs. Передние и задние датчики парковки. Передние сиденья с электрорегулировкой. Две печки передняя и задняя. Усилитель руля. Музыкальная система и т. Д. Два ключа, все родные книжки. Два комплекта колес.","Land Rover Range Rover, 2002"
49,"ВАЗ (LADA) 4x4 (Нива), 2001",700000,1.6 MT (75 л.с.),15 000 км,внедорожник,бензин,полный,Ошибка,"Воронежская область, Нововоронеж","Автомобиль делал для себя полтора года назад. Ремонт кузова, капиталка двигателя, замена салона урбан, обвес урбан, ремонт раздатки, ремонт ходовой, новые диски и многое другое.","ВАЗ (LADA) 4x4 (Нива), 2001"
50,"Ford Focus, 2007",RUB,2.0 MT (145 л.с.),135 000 км,хетчбэк,бензин,передний,Автодилер,"Саратовская область, Саратов","Продам фокус купе. Продажа Срочная, Цена, Пока Есть В Продаже Интересующий Меня Автомобиль. Юридически чист, без залогов и тд. Вин для проверки: X9f3xxeed37l82654. Двигатель 2 литра работает хорошо, едет очень бодро. По электрике все работает. Кузов, пороги в отличном состоянии, освежалась, ржи и дыр нигде нет. Ходовая часть тоже на 5. Хорошая 2din магнитола с блютуз, 6 колонок, выведены провода под саб и усилок. Из вложений для езды ничего не требуется, из мелких — внутренняя ручка двери, опорный подшипник. Показать могу почти в любое время с 8 до 23 часов по предварительному звонку, бываю в разных районах города по работе. Торг только у капота, либо с задатком сниму объявление, если вы из другого города.","Ford Focus, 2007"
51,"Ford S-MAX, 2008",330000,2.3 AT (161 л.с.),239 000 км,минивэн,бензин,передний,Автодилер,"Московская область, Красногорск","Очень хорошая машина, богатая комплектация, не гнилая, не битая. Много нового, вложений на данный момент не требуется. ( моросит глушитель). Звоните, расскажу…","Ford S-MAX, 2008"
52,"ВАЗ (LADA) Priora, 2011",RUB,1.6 MT (98 л.с.),196 000 км,седан,бензин,передний,Автодилер,"Ставропольский край, Ставрополь",Цена на два дня! Срочно! Машина в хорошем состоянии. Двигатель коробка Ходовая отлично. Дно чашки стаканы отлично. Машина без гнили и ржавчин. Находится по адресу. Осмотр в любое время.,"ВАЗ (LADA) Priora, 2011"
53,"Ford Focus, 2017",681000,1.5 AT (150 л.с.),122 000 км,седан,бензин,передний,Автодилер,"Чеченская Республика, Грозный","2017 год пробег 122 тыс 1.5 экобуст титаниум, темные стёкла передние стекла термо пленка, крашено 4 детали без удара, состояние хорошее, бартер на приору 300-400 тысяч.","Ford Focus, 2017"
54,"Skoda Octavia, 2010",RUB,1.4 AMT (122 л.с.),163 000 км,лифтбек,бензин,передний,Автодилер,"Калининградская область, Калининград","Продам«Skoda Octavia 1.4-AT„2010г. В на РФ. Оригинальный Птс. Оригинальный Пробег. Без Аварийная Эксплуатация. Максимальная Комплектация: -Климат контроль 2х зонный. -Подогрев сидений. -Мульти руль. -Круиз контроль. -Управление на руле бортовым компьютером. -Штатная мультимедиа с выходами Aux, Usb, Bluetooth. -Штатный задний Парктроник с выводом и разметкой на экран. -Полный Эл. Пакет ( стекла, зеркала с подогревом). -Эл. Привод складных зеркал. -Датчики дождя, света. -Линзовая оптика. -Огромный вместительный багажник и просторный салон. -Литые диски на новой резине. -Комплект чип ключей. Прекрасный Внешний Вид! Прекрасное Тех. Состояние! Возможна продажа в Кредит!","Skoda Octavia, 2010"
